name;capture_rate;height_m;weight_kg;classification;type
Koffing;190.0;0.6;1;Poison Gas Pokémon;poison
Kricketot;255.0;0.3;4;Cricket Pokémon;bug
Uxie;3.0;0.3;4;Knowledge Pokémon;psychic
Jynx;45.0;1.4;1;Humanshape Pokémon;psychic
Marill;190.0;0.4;2;Aquamouse Pokémon;fairy
Stantler;45.0;1.4;2;Big Horn Pokémon;normal
Ponyta;190.0;1.0;1;Fire Horse Pokémon;fire
Croconaw;45.0;1.1;2;Big Jaw Pokémon;water
Patrat;255.0;0.5;5;Scout Pokémon;normal
Feraligatr;45.0;2.3;2;Big Jaw Pokémon;water
Silcoon;120.0;0.6;3;Cocoon Pokémon;normal
Gastly;190.0;1.3;1;Gas Pokémon;poison
Venipede;255.0;0.4;5;Centipede Pokémon;poison
Clefable;25.0;1.3;1;Fairy Pokémon;fairy
Sawsbuck;75.0;1.9;5;Season Pokémon;grass
Parasect;75.0;1.0;1;Mushroom Pokémon;grass
Yanmega;30.0;1.9;4;Ogre Darner Pokémon;flying
Turtonator;70.0;2.0;7;Blast Turtle Pokémon;dragon
Sunkern;235.0;0.3;2;Seed Pokémon;grass
Flaaffy;120.0;0.8;2;Wool Pokémon;electric
Electabuzz;45.0;1.1;1;Electric Pokémon;electric
Flygon;45.0;2.0;3;Mystic Pokémon;dragon
Crabominable;60.0;1.7;7;Woolly Crab Pokémon;ice
Ledyba;255.0;1.0;2;Five Star Pokémon;flying
Braixen;45.0;1.0;6;Fox Pokémon;fire
Lickilicky;30.0;1.7;4;Licking Pokémon;normal
Terrakion;3.0;1.9;5;Cavern Pokémon;fighting
Druddigon;45.0;1.6;5;Cave Pokémon;dragon
Vanilluxe;45.0;1.3;5;Snowstorm Pokémon;ice
Vileplume;45.0;1.2;1;Flower Pokémon;poison
Blastoise;45.0;1.6;1;Shellfish Pokémon;water
Togepi;190.0;0.3;2;Spike Ball Pokémon;fairy
Shelmet;200.0;0.4;5;Snail Pokémon;bug
Golett;190.0;1.0;5;Automaton Pokémon;ghost
Reshiram;3.0;3.2;5;Vast White Pokémon;fire
