name;classification;type;attack;defense;capture_rate;height_m;weight_kg
Staravia;Starling Pokémon;flying;75;50;120.0;0.6;4
Starly;Starling Pokémon;flying;55;30;255.0;0.3;4
Starmie;Mysterious Pokémon;psychic;75;85;60.0;-1.1;1
Steelix;Iron Snake Pokémon;ground;125;230;25.0;9.2;2
Steenee;Fruit Pokémon;grass;40;48;120.0;0.7;7
Stufful;Flailing Pokémon;fighting;75;50;140.0;0.5;7
Stunfisk;Trap Pokémon;electric;66;84;75.0;0.7;5
Stunky;Skunk Pokémon;dark;63;47;225.0;0.4;4
Suicune;Aurora Pokémon;water;75;115;3.0;2.0;2
Sunkern;Seed Pokémon;grass;30;30;235.0;0.3;2
Swablu;Cotton Bird Pokémon;flying;40;60;255.0;0.4;3
Swanna;White Bird Pokémon;flying;87;63;45.0;1.3;5
Swellow;Swallow Pokémon;flying;85;60;45.0;0.7;3
Swinub;Pig Pokémon;ground;50;40;225.0;0.4;2
Swirlix;Cotton Candy Pokémon;fairy;48;66;200.0;0.4;6
Swoobat;Courting Pokémon;flying;57;55;45.0;0.9;5
Sylveon;Intertwining Pokémon;fairy;65;65;45.0;1.0;6
Taillow;TinySwallow Pokémon;flying;55;30;200.0;0.3;3
Talonflame;Scorching Pokémon;flying;81;71;45.0;1.2;6
Tangela;Vine Pokémon;grass;55;115;45.0;1.0;1
Tangrowth;Vine Pokémon;grass;100;125;30.0;2.0;4
Tapu Bulu;Land Spirit Pokémon;fairy;130;115;3.0;1.9;7
Tapu Lele;Land Spirit Pokémon;fairy;85;75;3.0;1.2;7
Tauros;Wild Bull Pokémon;normal;100;95;45.0;1.4;1
Teddiursa;Little Bear Pokémon;fairy;80;50;120.0;0.6;2
Tentacool;Jellyfish Pokémon;poison;40;35;190.0;0.9;1
Tentacruel;Jellyfish Pokémon;poison;70;65;60.0;1.6;1
Terrakion;Cavern Pokémon;fighting;129;90;3.0;1.9;5
Togedemaru;Roly-Poly Pokémon;steel;98;63;180.0;0.3;7
Togepi;Spike Ball Pokémon;fairy;20;65;190.0;0.3;2
Togetic;Happiness Pokémon;flying;40;85;75.0;0.6;2
Torchic;Chick Pokémon;fire;60;40;45.0;0.4;3
Torkoal;Coal Pokémon;fairy;85;140;90.0;0.5;3
Toucannon;Cannon Pokémon;flying;120;75;45.0;1.1;7
Toxicroak;Toxic Mouth Pokémon;fighting;106;65;75.0;1.3;4
Tranquill;Wild Pigeon Pokémon;flying;77;62;120.0;0.6;5
Treecko;Wood Gecko Pokémon;grass;45;35;45.0;0.5;3
Trevenant;Elder Tree Pokémon;grass;110;76;60.0;1.5;6
Trumbeak;Bugle Beak Pokémon;flying;85;50;120.0;0.6;7
Tsareena;Fruit Pokémon;grass;120;98;45.0;1.2;7
Turtonator;Blast Turtle Pokémon;dragon;78;135;70.0;2.0;7
Tynamo;EleFish Pokémon;electric;55;40;190.0;0.2;5
Type: Null;Synthetic Pokémon;normal;95;95;3.0;1.9;7
Typhlosion;Volcano Pokémon;fire;84;78;45.0;1.7;2
Tyrantrum;Despot Pokémon;dragon;121;119;45.0;2.5;6
Tyrunt;Royal Heir Pokémon;dragon;89;77;45.0;0.8;6
Umbreon;Moonlight Pokémon;dark;65;110;45.0;1.0;2
Unfezant;Proud Pokémon;flying;115;80;45.0;1.2;5
Unown;Symbol Pokémon;psychic;72;48;225.0;0.5;2
Ursaring;Hibernator Pokémon;normal;130;75;60.0;1.8;2
Uxie;Knowledge Pokémon;psychic;75;130;3.0;0.3;4
Vanillish;Icy Snow Pokémon;ice Pokemon;65;65;120.0;1.1;5
Vanillite;Fresh Snow Pokémon;ice;50;50;255.0;0.4;5
Vanilluxe;Snowstorm Pokémon;ice;95;85;45.0;1.3;5
Venipede;Centipede Pokémon;poison;45;59;255.0;0.4;5
Venomoth;Poison Moth Pokémon;poison;65;60;75.0;1.5;1
Venonat;Insect Pokémon;poison poison;55;50;190.0;1.0;1
Vibrava;Vibration Pokémon;dragon;70;50;120.0;1.1;3
Victreebel;Flycatcher Pokémon;poison;105;65;45.0;1.7;1
Vikavolt;Stag Beetle Pokémon;electric;70;90;45.0;1.5;7
Vileplume;Flower Pokémon;poison;80;85;45.0;1.2;1
Virizion;Grassland Pokémon;fighting;90;72;3.0;2.0;5
Volcarona;Sun Pokémon;fire;60;65;15.0;1.6;5
Voltorb;Ball Pokémon;electric;30;50;190.0;0.5;1
Vullaby;Diapered Pokémon;flying;55;75;190.0;0.5;5
;Ball Whale Pokémon;water;70;35;125.0;2.0;3
Walrein;Ice Break Pokémon;water;80;90;45.0;1.4;3
Wartortle;Turtle Pokémon;;63;80;;1.0;1
Weepinbell;Flycatcher Pokémon;poison;90;50;120.0;1.0;1
Weezing;Poison Gas Pokémon;poison;90;120;60.0;1.2;1
Whismur;Whisper Pokémon;normal;51;23;190.0;0.6;3
Wigglytuff;Balloon Pokémon;fairy;70;45;50.0;1.0;1
Wimpod;Turn Tail Pokémon;water;35;40;90.0;0.5;7
Wobbuffet;Patient Pokémon;psychic;33;58;45.0;1.3;2
Wooper;Water Fish Pokémon;ground;45;45;255.0;0.4;2
Wormadam;Bagworm Pokémon;grass;69;95;45.0;0.5;4
Wynaut;Bright Pokémon;psychic;23;48;125.0;0.6;3
Xatu;Mystic Pokémon;flying;75;70;75.0;1.5;2
Xurkitree;Glowing Pokémon;electric;89;71;30.0;3.8;7
Yanmega;Ogre Darner Pokémon;flying;76;86;30.0;1.9;4
Yungoos;Loitering Pokémon;normal;70;30;255.0;0.4;7
Zangoose;Cat Ferret Pokémon;normal;115;60;90.0;1.3;3
Zebstrika;Thunderbolt Pokémon;electric;100;63;75.0;1.6;5
Zekrom;Deep Black Pokémon;electric;150;120;3.0;2.9;5
Zoroark;Illusion Fox Pokémon;dark;105;60;45.0;1.6;5
;Tricky Fox Pokémon;dark;65;40;75.0;0.7;5
Zubat;Bat Pokémon;flying;45;35;255.0;0.8;1
Zweilous;Hostile Pokémon;dragon;85;70;45.0;1.4;5
