name;classification;attack;defense;capture_rate;height_m;weight_kg;type
Stantler;Big Horn Pokémon;95;62;45.0;1.4;2;normal
Staraptor;Predator Pokémon;120;70;45.0;1.2;4;flying
Staravia;Starling Pokémon;75;50;120.0;0.6;4;flying
Starly;Starling Pokémon;55;30;255.0;0.3;4;flying
Starmie;Mysterious Pokémon;75;85;60.0;1.1;1;psychic
Steelix;Iron Snake Pokémon;125;230;25.0;9.2;2;ground
Steenee;Fruit Pokémon;40;48;120.0;0.7;7;grass
Stufful;Flailing Pokémon;75;50;140.0;0.5;7;fighting
Stunfisk;Trap Pokémon;66;84;75.0;0.7;5;electric
Stunky;Skunk Pokémon;63;47;225.0;0.4;4;dark
Suicune;Aurora Pokémon;75;115;3.0;2.0;2;water
Sunkern;Seed Pokémon;30;30;235.0;0.3;2;grass
Swablu;Cotton Bird Pokémon;40;60;255.0;0.4;3;flying
Swanna;White Bird Pokémon;87;63;45.0;1.3;5;flying
Swellow;Swallow Pokémon;85;60;45.0;0.7;3;flying
Swinub;Pig Pokémon;50;40;225.0;0.4;2;ground
Swirlix;Cotton Candy Pokémon;48;66;200.0;0.4;6;fairy
Swoobat;Courting Pokémon;57;55;45.0;0.9;5;flying
Sylveon;Intertwining Pokémon;65;65;45.0;1.0;6;fairy
Taillow;TinySwallow Pokémon;55;30;200.0;0.3;3;flying
Talonflame;Scorching Pokémon;81;71;45.0;1.2;6;flying
Tangela;Vine Pokémon;55;115;45.0;1.0;1;grass
Tangrowth;Vine Pokémon;100;125;30.0;2.0;4;grass
Tapu Bulu;Land Spirit Pokémon;130;115;3.0;1.9;7;fairy
Tapu Lele;Land Spirit Pokémon;85;75;3.0;1.2;7;fairy
Tauros;Wild Bull Pokémon;100;95;45.0;1.4;1;normal
Teddiursa;Little Bear Pokémon;80;50;120.0;0.6;2;fairy
Tentacool;Jellyfish Pokémon;40;35;190.0;0.9;1;poison
Tentacruel;Jellyfish Pokémon;70;65;60.0;1.6;1;poison
Terrakion;Cavern Pokémon;129;90;3.0;1.9;5;fighting
Togedemaru;Roly-Poly Pokémon;98;63;180.0;0.3;7;steel
Togepi;Spike Ball Pokémon;20;65;190.0;0.3;2;fairy
Togetic;Happiness Pokémon;40;85;75.0;0.6;2;flying
Torchic;Chick Pokémon;60;40;45.0;0.4;3;fire
Torkoal;Coal Pokémon;85;140;90.0;0.5;3;fairy
Toucannon;Cannon Pokémon;120;75;45.0;1.1;7;flying
Toxicroak;Toxic Mouth Pokémon;106;65;75.0;1.3;4;fighting
Tranquill;Wild Pigeon Pokémon;77;62;120.0;0.6;5;flying
Treecko;Wood Gecko Pokémon;45;35;45.0;0.5;3;grass
Trevenant;Elder Tree Pokémon;110;76;60.0;1.5;6;grass
Trumbeak;Bugle Beak Pokémon;85;50;120.0;0.6;7;flying
Tsareena;Fruit Pokémon;120;98;45.0;1.2;7;grass
Turtonator;Blast Turtle Pokémon;78;135;70.0;2.0;7;dragon
Tynamo;EleFish Pokémon;55;40;190.0;0.2;5;electric
Type: Null;Synthetic Pokémon;95;95;3.0;1.9;7;normal
Typhlosion;Volcano Pokémon;84;78;45.0;1.7;2;fire
Tyrantrum;Despot Pokémon;121;119;45.0;2.5;6;dragon
Tyrunt;Royal Heir Pokémon;89;77;45.0;0.8;6;dragon
Umbreon;Moonlight Pokémon;65;110;45.0;1.0;2;dark
Unfezant;Proud Pokémon;115;80;45.0;1.2;5;flying
Unown;Symbol Pokémon;72;48;225.0;0.5;2;psychic
Ursaring;Hibernator Pokémon;130;75;60.0;1.8;2;normal
Uxie;Knowledge Pokémon;75;130;3.0;0.3;4;psychic
Vanillish;Icy Snow Pokémon;65;65;120.0;1.1;5;ice
Vanillite;Fresh Snow Pokémon;50;50;255.0;0.4;5;ice
Vanilluxe;Snowstorm Pokémon;95;85;45.0;1.3;5;ice
Venipede;Centipede Pokémon;45;59;255.0;0.4;5;poison
Venomoth;Poison Moth Pokémon;65;60;75.0;1.5;1;poison
Venonat;Insect Pokémon;55;50;190.0;1.0;1;poison
Vibrava;Vibration Pokémon;70;50;120.0;1.1;3;dragon
Victreebel;Flycatcher Pokémon;105;65;45.0;1.7;1;poison
Vikavolt;Stag Beetle Pokémon;70;90;45.0;1.5;7;electric
Vileplume;Flower Pokémon;80;85;45.0;1.2;1;poison
Virizion;Grassland Pokémon;90;72;3.0;2.0;5;fighting
Volcarona;Sun Pokémon;60;65;15.0;1.6;5;fire
Voltorb;Ball Pokémon;30;50;190.0;0.5;1;electric
Vullaby;Diapered Pokémon;55;75;190.0;0.5;5;flying
Wailmer;Ball Whale Pokémon;70;35;125.0;2.0;3;water
Walrein;Ice Break Pokémon;80;90;45.0;1.4;3;water
Wartortle;Turtle Pokémon;63;80;45.0;1.0;1;water
Weepinbell;Flycatcher Pokémon;90;50;120.0;1.0;1;poison
Weezing;Poison Gas Pokémon;90;120;60.0;1.2;1;poison
Whismur;Whisper Pokémon;51;23;190.0;0.6;3;normal
Wigglytuff;Balloon Pokémon;70;45;50.0;1.0;1;fairy
Wimpod;Turn Tail Pokémon;35;40;90.0;0.5;7;water
Wobbuffet;Patient Pokémon;33;58;45.0;1.3;2;psychic
Wooper;Water Fish Pokémon;45;45;255.0;0.4;2;ground
Wormadam;Bagworm Pokémon;69;95;45.0;0.5;4;grass
Wynaut;Bright Pokémon;23;48;125.0;0.6;3;psychic
Xatu;Mystic Pokémon;75;70;75.0;1.5;2;flying
Xurkitree;Glowing Pokémon;89;71;30.0;3.8;7;electric
Yanmega;Ogre Darner Pokémon;76;86;30.0;1.9;4;flying
Yungoos;Loitering Pokémon;70;30;255.0;0.4;7;normal
Zangoose;Cat Ferret Pokémon;115;60;90.0;1.3;3;normal
Zebstrika;Thunderbolt Pokémon;100;63;75.0;1.6;5;electric
Zekrom;Deep Black Pokémon;150;120;3.0;2.9;5;electric
Zoroark;Illusion Fox Pokémon;105;60;45.0;1.6;5;dark
Zorua;Tricky Fox Pokémon;65;40;75.0;0.7;5;dark
Zubat;Bat Pokémon;45;35;255.0;0.8;1;flying
Zweilous;Hostile Pokémon;85;70;45.0;1.4;5;dragon
